price,millage,year,make,model,city,state,accidents,owners,use
9841,42143,2017,Chevrolet,Cruze, Yonkers, NY,1,2.0,Personal
11799,91582,2012,Honda,Odyssey, Union City, NJ,0,2.0,Personal
40035,4678,2020,Mercedes-Benz,GLC, Paramus, NJ,0,1.0,Personal
7900,74466,2016,Volkswagen,Jetta, Bronx, NY,0,1.0,Personal
12594,15869,2017,Hyundai,Elantra, Bloomfield, NJ,0,1.0,Personal
7900,160623,2015,Toyota,Sienna, Belford, NJ,1,2.0,Fleet
8800,44645,2004,Nissan,Titan, Hazlet, NJ,0,1.0,Personal
14990,45688,2018,Chevrolet,Malibu, New York, NY,0,1.0,Personal
9995,44000,2014,Chevrolet,Equinox, Scarsdale, NY,0,2.0,Personal
2995,128827,2004,Jeep,Liberty, Garfield, NJ,3,6.0,Fleet
48904,18737,2017,Mercedes-Benz,GLS, New York, NY,0,1.0,Personal
38990,6245,2019,Lexus,RX, New York, NY,0,1.0,Personal
5895,90946,2014,Volkswagen,Jetta, Lodi, NJ,1,2.0,Personal
10800,64243,2013,Jeep,Grand Cherokee, Hazlet, NJ,0,2.0,Personal
12900,88181,2017,Chevrolet,Traverse, Belford, NJ,2,1.0,Fleet
19999,43863,2017,Lincoln,MKC, Englewood, NJ,0,1.0,Personal
11900,103227,2013,Lexus,ES, Belford, NJ,1,2.0,Personal
17995,108375,2017,Ford,Explorer, Brooklyn, NY,0,1.0,Personal
