car_name,price,millage,location,history
2013 Ferrari 458 Italia,"$149,997","33,454 miles","1.3 mi - Jersey City, NJ","No accidents, 5 Owners, Fleet use"
2007 Nissan Murano,"$3,942","114,400 miles","6.2 mi - Carlstadt, NJ","3 accidents, 2 Owners, Personal use"
2017 INFINITI QX60,"$20,995","65,490 miles","2.9 mi - Union City, NJ","No accidents, 3 Owners, Personal use"
2010 Volkswagen Passat,"$4,999","123,702 miles","5.7 mi - Brooklyn, NY","No accidents, 3 Owners, Fleet use"
2020 Kia Soul,"$17,497","30,532 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2017 Audi A4,"$24,386","29,659 miles","4.7 mi - Secaucus, NJ","No accidents, 1 Owner, Personal use"
2020 Nissan Pathfinder,"$30,797","11,294 miles","1.7 mi - Jersey City, NJ","No accidents, 1 Owner, Personal use"
2013 Jeep Grand Cherokee,"$9,999","107,207 miles","5.7 mi - Brooklyn, NY","No accidents, 3 Owners, Personal use"
2017 Lexus NX,"$26,537","18,110 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2019 Lexus RX,"$38,995","7,318 miles","4.7 mi - New York, NY","No accidents, 1 Owner, Personal use"
2009 INFINITI G,"$13,998","61,331 miles","1.3 mi - Jersey City, NJ","No accidents, 2 Owners, Personal use"
2010 BMW 5 Series,"$7,720","134,072 miles","5.1 mi - Newark, NJ","No accidents, 4 Owners, Fleet use"
2016 Kia Sedona,"$8,950","107,450 miles","5.7 mi - Brooklyn, NY","4 accidents, 2 Owners, Fleet use"
2018 Nissan Altima,"$12,742","45,426 miles","6.2 mi - Carlstadt, NJ","No accidents, 1 Owner, Personal use"
2018 Nissan Altima,"$11,995","28,547 miles","5.5 mi - Newark, NJ","No accidents, 2 Owners, Personal use"
